"Seahawks, D/ST D/ST",171
"Panthers, D/ST D/ST",160
"Cardinals, D/ST D/ST",154
"Chiefs, D/ST D/ST",151
"49ers, D/ST D/ST",150
"Patriots, D/ST D/ST",148
"Bengals, D/ST D/ST",140
"Broncos, D/ST D/ST",140
"Rams, D/ST D/ST",140
"Buccaneers, D/ST D/ST",127
"Bills, D/ST D/ST",126
"Browns, D/ST D/ST",110
"Saints, D/ST D/ST",109
"Texans, D/ST D/ST",106
"Ravens, D/ST D/ST",105
"Colts, D/ST D/ST",101
"Giants, D/ST D/ST",100
"Lions, D/ST D/ST",97
"Steelers, D/ST D/ST",97
"Jaguars, D/ST D/ST",94
"Packers, D/ST D/ST",94
"Titans, D/ST D/ST",88
"Dolphins, D/ST D/ST",88
"Falcons, D/ST D/ST",85
"Eagles, D/ST D/ST",85
"Raiders, D/ST D/ST",83
"Jets, D/ST D/ST",83
"Redskins, D/ST D/ST",83
"Bears, D/ST D/ST",82
"Vikings, D/ST D/ST",81
"Chargers, D/ST D/ST",79
"Cowboys, D/ST D/ST",64
